submittedAt,studentId,identity,preferredDate,yearOfStudy,dateType,dateFormat,submittedAt,adventurous,believeInTrueLove,confident,lookingForSerious,intellectualConversations,talkingAboutFeelings,extrovert,careAboutEnvironment,likeToDance,religiousConnection,outClubbing,closeToFamily,likeToTravel,swearALot,organizedAndTidy,commitmentImportant,prioritizeAcademics,discussBooksMovies,laidBack,likeSarcasticPeople,decisionBasedOnFeelings,openToChangingViews,healthyLiving,actionsOverWords,passionateAboutPolitics,sharedMoralsImportant,romantic,stemOverHumanities,partnerPreference,yearPreference,purchased
2024-11-13T17:25:41.400+00:00,2211040,male,11/21/24,3,romantic,one-on-one,2024-11-13T17:25:41.400+00:00,4,2,4,4,4,4,4,3,1,2,1,3,5,3,1,4,2,4,5,3,4,4,3,5,1,4,2,4,women,any,yes
2024-11-13T17:47:10.836+00:00,2202175,male,11/22/24,3,romantic,one-on-one,2024-11-13T17:47:10.836+00:00,5,4,4,4,4,4,4,3,4,2,4,4,5,4,2,4,3,2,4,4,3,5,5,5,1,3,3,3,women,any,
2024-11-13T18:48:12.146+00:00,5650863,male,11/22/24,1,romantic,one-on-one,2024-11-13T18:48:12.146+00:00,3,4,4,4,5,5,3,4,3,1,1,3,4,5,1,4,2,4,5,4,4,5,3,4,1,4,4,4,women,same,yes
2024-11-13T19:39:49.238+00:00,5611118,female,11/21/24,postgraduate,romantic,one-on-one,2024-11-13T19:39:49.238+00:00,3,5,4,4,4,4,3,3,2,3,2,4,2,2,2,4,4,2,4,3,3,3,4,4,2,4,2,3,men,any,
2024-11-13T19:55:16.292+00:00,5505037,male,11/22/24,2,romantic,one-on-one,2024-11-13T19:55:16.292+00:00,4,3,5,3,5,4,5,3,2,2,3,4,4,5,4,5,3,4,4,2,2,4,4,5,3,5,5,3,women,any,
2024-11-13T20:16:28.494+00:00,2211123,male,11/22/24,3,romantic,one-on-one,2024-11-13T20:16:28.494+00:00,3,4,5,5,5,3,2,3,3,1,1,4,2,2,4,4,5,5,3,3,2,4,3,4,3,5,3,5,women,same,yes
2024-11-13T20:23:47.266+00:00,2202549,male,11/21/24,2,romantic,one-on-one,2024-11-13T20:23:47.266+00:00,4,5,3,4,3,3,2,4,2,2,2,4,5,4,4,4,3,4,5,4,4,4,5,4,4,4,5,2,women,any,
2024-11-13T20:54:22.294+00:00,2246851,male,11/21/24,3,romantic,one-on-one,2024-11-13T20:54:22.294+00:00,4,5,4,4,4,4,4,3,4,3,4,5,4,2,2,4,3,4,2,3,4,4,4,5,3,4,5,1,women,any,
2024-11-13T21:06:38.119+00:00,2104306,female,11/21/24,postgraduate,romantic,one-on-one,2024-11-13T21:06:38.119+00:00,2,5,4,4,5,4,4,4,5,2,4,4,4,3,4,4,4,4,2,3,3,4,4,3,1,4,5,5,men,same,
2024-11-13T21:20:07.860+00:00,5559177,male,11/22/24,2,romantic,one-on-one,2024-11-13T21:20:07.860+00:00,4,5,4,4,4,3,4,2,4,1,3,4,5,4,4,4,3,4,2,3,3,4,5,4,4,4,5,3,women,any,yes
2024-11-13T21:41:31.646+00:00,2261809,male,11/22/24,2,friend,one-on-one,2024-11-13T21:41:31.646+00:00,5,2,2,4,4,3,2,5,2,2,1,5,5,5,3,5,4,5,4,5,2,3,4,4,1,4,3,3,women,any,yes
2024-11-13T21:59:40.642+00:00,2244519,male,11/21/24,3,romantic,one-on-one,2024-11-13T21:59:40.642+00:00,4,5,4,5,4,4,3,3,4,1,1,4,4,4,4,5,2,2,3,3,4,4,4,4,1,4,5,3,women,any,
2024-11-13T22:56:00.067+00:00,5620128,female,11/21/24,1,romantic,one-on-one,2024-11-13T22:56:00.067+00:00,5,3,5,4,1,1,5,5,4,4,3,5,5,1,4,5,3,4,5,4,5,2,3,5,1,4,4,3,men,any,yes
2024-11-13T23:46:40.017+00:00,5510174,male,11/22/24,2,romantic,one-on-one,2024-11-13T23:46:40.017+00:00,3,3,4,4,4,5,4,4,5,3,4,5,4,5,4,4,2,5,2,2,2,4,4,4,4,4,4,1,men,any,
2024-11-13T23:54:42.803+00:00,5593171,male,11/22/24,1,friend,one-on-one,2024-11-13T23:54:42.803+00:00,4,3,3,3,5,4,3,2,3,1,1,5,3,1,5,3,4,5,2,5,2,5,4,3,1,2,3,5,everyone,any,
2024-11-14T03:49:59.686+00:00,5502157,male,11/22/24,2,romantic,one-on-one,2024-11-14T03:49:59.686+00:00,4,5,4,4,3,3,4,3,4,2,4,4,4,5,4,4,2,5,4,4,3,4,3,4,3,2,2,4,women,same,yes
2024-11-14T07:34:06.684+00:00,5596859,male,11/21/24,1,romantic,double,2024-11-14T07:34:06.684+00:00,4,5,4,4,5,4,5,5,3,2,2,5,5,1,3,4,2,5,4,2,3,5,5,4,4,3,4,2,everyone,any,yes
2024-11-14T09:17:59.412+00:00,2237847,female,11/22/24,3,romantic,one-on-one,2024-11-14T09:17:59.412+00:00,5,4,4,4,4,4,5,4,5,4,1,5,5,3,4,3,3,3,4,3,4,3,5,5,2,4,5,5,men,different,
2024-11-14T09:47:02.558+00:00,5645743,male,11/22/24,1,romantic,one-on-one,2024-11-14T09:47:02.558+00:00,5,5,5,4,4,4,5,3,5,3,4,5,5,4,4,4,2,4,4,4,4,4,4,4,3,3,4,1,women,any,
2024-11-14T13:15:24.567+00:00,2212661,male,11/21/24,3,romantic,one-on-one,2024-11-14T13:15:24.567+00:00,4,4,4,4,3,2,4,3,3,2,4,4,5,4,3,4,2,4,5,5,3,4,5,4,3,4,4,2,women,any,
2024-11-14T13:15:44.044+00:00,2262798,male,11/21/24,3,romantic,one-on-one,2024-11-14T13:15:44.044+00:00,4,4,4,4,3,2,4,3,3,2,4,4,5,4,3,4,2,3,5,5,3,4,5,4,3,4,4,2,women,any,
2024-11-14T14:12:02.321+00:00,5563189,male,11/21/24,2,romantic,one-on-one,2024-11-14T14:12:02.321+00:00,4,4,3,3,5,3,2,4,3,1,5,5,4,4,4,4,2,4,4,4,3,4,5,5,3,4,3,4,women,any,
2024-11-14T15:17:51.235+00:00,5504478,female,11/21/24,2,romantic,one-on-one,2024-11-14T15:17:51.235+00:00,4,4,5,4,4,4,5,3,4,2,3,3,4,5,2,4,3,5,4,5,4,4,3,4,2,4,4,2,men,any,
2024-11-14T15:25:55.730+00:00,5508201,male,11/21/24,2,romantic,one-on-one,2024-11-14T15:25:55.730+00:00,2,4,1,4,5,4,1,4,3,1,1,3,3,3,4,5,5,5,4,5,3,5,4,3,4,5,4,1,women,any,yes
2024-11-14T16:31:02.852+00:00,1801365,male,11/22/24,postgraduate,romantic,one-on-one,2024-11-14T16:31:02.852+00:00,3,4,3,4,4,3,2,3,3,1,4,3,3,3,5,5,3,2,5,2,2,4,3,4,1,5,5,3,women,same,yes
2024-11-15T00:30:34.241+00:00,5515913,female,11/22/24,2,romantic,one-on-one,2024-11-15T00:30:34.241+00:00,5,3,4,5,5,4,4,2,4,3,2,4,5,3,3,5,4,4,1,5,2,5,5,5,4,4,4,3,men,different,
2024-11-15T00:41:29.833+00:00,2235255,male,11/21/24,3,romantic,one-on-one,2024-11-15T00:41:29.833+00:00,5,1,4,3,5,5,3,5,2,1,2,2,5,4,4,4,3,4,4,4,3,5,3,5,5,4,3,1,women,same,
2024-11-15T01:24:57.625+00:00,5546608,male,11/22/24,2,romantic,one-on-one,2024-11-15T01:24:57.625+00:00,2,4,1,3,4,3,1,3,1,2,1,5,3,4,4,4,4,5,2,5,4,4,4,5,3,5,3,5,women,any,
2024-11-15T01:52:36.418+00:00,5516731,male,11/21/24,2,romantic,one-on-one,2024-11-15T01:52:36.418+00:00,3,5,3,5,5,4,1,5,5,1,2,4,5,2,3,5,3,5,2,4,2,4,5,5,3,5,5,4,women,same,
2024-11-15T09:27:45.924+00:00,2181547,female,11/22/24,3,romantic,one-on-one,2024-11-15T09:27:45.924+00:00,4,4,3,4,4,3,3,3,3,3,2,4,4,2,5,5,4,3,3,3,2,4,4,5,2,3,4,4,men,same,
2024-11-15T17:49:19.000+00:00,2253185,female,11/21/24,3,romantic,one-on-one,2024-11-15T17:49:19.000+00:00,3,2,3,2,4,4,3,3,2,2,2,2,3,4,4,3,3,3,4,4,3,3,3,3,2,3,3,2,men,same,
2024-11-15T17:59:09.165+00:00,5506741,female,11/22/24,2,friend,one-on-one,2024-11-15T17:59:09.165+00:00,4,4,4,3,4,4,2,2,3,1,4,3,4,3,2,5,3,3,5,5,4,3,3,5,1,4,3,2,women,same,yes
2024-11-15T18:57:48.704+00:00,2058210,male,11/21/24,postgraduate,romantic,one-on-one,2024-11-15T18:57:48.704+00:00,4,4,4,4,5,4,2,3,4,3,2,4,5,2,4,3,4,5,3,4,2,4,5,4,4,3,3,3,women,any,
2024-11-15T19:41:33.808+00:00,5525396,male,11/21/24,2,romantic,one-on-one,2024-11-15T19:41:33.808+00:00,5,5,5,2,3,3,4,3,5,4,3,4,4,3,4,3,2,4,4,1,4,3,4,2,2,2,5,2,women,any,
2024-11-15T22:16:24.698+00:00,5574530,male,11/21/24,1,romantic,one-on-one,2024-11-15T22:16:24.698+00:00,4,3,4,3,5,4,5,4,3,3,1,4,5,2,3,5,3,4,4,5,2,4,4,4,3,4,3,2,women,same,
2024-11-15T22:37:07.328+00:00,5610358,female,11/21/24,1,romantic,one-on-one,2024-11-15T22:37:07.328+00:00,4,3,4,4,4,3,4,4,4,3,4,5,5,4,3,3,3,5,4,4,3,4,3,4,4,5,4,2,everyone,any,
2024-11-15T22:55:25.208+00:00,5601151,female,11/21/24,1,romantic,one-on-one,2024-11-15T22:55:25.208+00:00,3,4,4,4,4,3,4,3,2,3,3,4,4,4,3,3,3,5,2,4,4,2,3,4,4,5,4,2,everyone,any,yes
2024-11-15T23:24:59.786+00:00,2248717,female,11/21/24,3,romantic,one-on-one,2024-11-15T23:24:59.786+00:00,4,4,5,4,5,2,4,3,4,1,3,5,5,4,3,4,2,5,5,5,2,5,4,4,2,3,4,3,men,same,
2024-11-16T12:22:44.709+00:00,5636348,male,11/22/24,postgraduate,romantic,one-on-one,2024-11-16T12:22:44.709+00:00,4,3,4,5,5,5,3,5,4,3,2,3,4,1,4,5,5,4,4,3,2,5,5,4,3,4,4,3,women,any,yes
2024-11-16T13:55:32.696+00:00,5613167,male,11/21/24,1,romantic,one-on-one,2024-11-16T13:55:32.696+00:00,5,4,4,3,4,4,5,4,3,3,4,3,4,3,4,4,3,4,2,3,2,4,4,4,2,2,5,3,women,any,yes
2024-11-16T16:46:28.457+00:00,5562935,male,11/21/24,2,friend,double,2024-11-16T16:46:28.457+00:00,3,4,4,4,3,4,4,3,3,2,2,4,5,2,4,4,3,4,4,2,5,4,4,3,2,3,4,2,everyone,any,
2024-11-16T18:29:11.009+00:00,2207614,male,11/22/24,2,romantic,one-on-one,2024-11-16T18:29:11.009+00:00,4,3,5,4,3,3,5,1,4,2,5,4,4,5,3,4,2,3,4,3,3,4,4,4,3,4,4,5,men,any,yes
2024-11-17T16:59:15.166+00:00,2111074,male,11/22/24,4,romantic,one-on-one,2024-11-17T16:59:15.166+00:00,5,3,4,5,4,4,5,4,4,2,3,3,4,2,4,2,2,4,5,5,2,4,2,4,4,4,5,4,women,any,
2024-11-17T16:59:15.495+00:00,2158656,male,11/22/24,3,romantic,one-on-one,2024-11-17T16:59:15.495+00:00,5,3,4,4,4,3,3,3,3,1,2,4,5,4,1,2,4,4,5,4,3,4,5,4,4,3,4,1,women,any,
2024-11-17T20:55:25.374+00:00,5594084,female,11/22/24,1,romantic,one-on-one,2024-11-17T20:55:25.374+00:00,3,4,4,3,4,4,3,3,1,4,1,5,5,2,4,4,3,5,2,3,2,2,3,5,2,5,3,3,men,any,
2024-11-17T21:01:41.865+00:00,5596683,female,11/22/24,1,romantic,one-on-one,2024-11-17T21:01:41.865+00:00,4,4,3,4,4,3,4,5,4,1,1,2,5,2,3,4,4,3,4,4,4,3,4,5,3,5,5,4,men,same,
2024-11-17T23:26:19.598+00:00,2210803,male,11/21/24,3,romantic,double,2024-11-17T23:26:19.598+00:00,5,5,5,4,4,4,4,4,4,1,1,4,5,3,4,4,4,3,2,3,4,4,5,4,4,4,5,4,women,any,
2024-11-18T01:11:42.621+00:00,2235423,male,11/22/24,3,romantic,one-on-one,2024-11-18T01:11:42.621+00:00,2,5,4,5,3,5,2,3,4,4,1,5,2,4,2,5,2,5,5,5,1,5,4,5,1,3,4,5,women,any,yes
2024-11-18T02:08:58.578+00:00,5634550,male,11/21/24,1,romantic,one-on-one,2024-11-18T02:08:58.578+00:00,5,5,4,4,4,3,2,3,2,1,2,5,4,4,4,4,1,4,4,4,3,4,5,3,1,2,4,2,women,same,yes
2024-11-18T16:39:41.183+00:00,5642671,female,11/22/24,1,romantic,one-on-one,2024-11-18T16:39:41.183+00:00,4,4,4,4,5,4,4,4,5,2,3,3,4,4,4,5,3,5,4,5,3,3,3,5,5,5,5,3,everyone,any,
2024-11-18T17:01:28.842+00:00,5571303,female,11/21/24,2,romantic,one-on-one,2024-11-18T17:01:28.842+00:00,4,4,4,3,5,4,3,3,4,4,2,5,4,2,4,3,2,5,2,5,2,3,4,5,2,4,5,5,men,same,
2024-11-18T17:25:09.570+00:00,5515516,male,11/22/24,2,romantic,one-on-one,2024-11-18T17:25:09.570+00:00,5,5,5,5,3,5,5,5,5,4,4,4,5,3,5,5,3,4,5,4,4,5,4,5,4,5,5,2,everyone,any,
2024-11-18T17:25:27.853+00:00,5547196,male,11/22/24,2,romantic,one-on-one,2024-11-18T17:25:27.853+00:00,5,5,4,5,4,5,4,5,4,2,5,4,4,4,2,4,2,3,4,4,4,4,4,5,3,4,5,2,men,any,
2024-11-18T17:30:47.675+00:00,5509270,male,11/21/24,2,romantic,one-on-one,2024-11-18T17:30:47.675+00:00,5,5,2,4,2,4,2,4,4,2,4,2,4,1,5,5,5,5,2,1,4,4,2,4,1,5,2,4,women,any,
2024-11-18T18:33:38.120+00:00,5648424,male,11/22/24,postgraduate,romantic,one-on-one,2024-11-18T18:33:38.120+00:00,3,4,4,4,5,4,3,5,4,1,2,4,5,3,3,4,4,5,4,3,3,5,4,4,4,4,4,1,women,any,
2024-11-18T18:39:39.545+00:00,5611382,female,11/21/24,1,friend,one-on-one,2024-11-18T18:39:39.545+00:00,4,3,4,2,4,2,3,4,1,1,4,4,5,4,1,4,3,5,4,4,2,4,3,4,3,5,4,2,everyone,any,
2024-11-18T18:53:17.387+00:00,5548362,female,11/21/24,2,romantic,one-on-one,2024-11-18T18:53:17.387+00:00,3,4,4,3,5,4,3,5,4,5,4,5,4,5,2,4,4,5,3,5,2,3,3,5,3,4,4,4,men,different,
2024-11-18T19:00:09.856+00:00,2060875,male,11/21/24,4,romantic,one-on-one,2024-11-18T19:00:09.856+00:00,4,3,5,3,5,3,3,4,4,3,4,3,5,4,2,4,2,5,4,5,2,5,5,4,3,3,4,2,women,any,
2024-11-18T19:03:13.919+00:00,5557023,male,11/21/24,2,romantic,one-on-one,2024-11-18T19:03:13.919+00:00,4,3,4,4,4,3,4,3,5,4,3,4,4,5,3,4,3,4,4,5,2,4,4,5,2,4,4,4,women,any,
2024-11-19T01:00:47.082+00:00,2203389,female,11/21/24,3,romantic,one-on-one,2024-11-19T01:00:47.082+00:00,4,2,4,2,3,4,3,4,2,1,2,5,5,4,2,3,2,4,3,4,3,5,3,5,2,3,4,3,men,same,
2024-11-19T01:44:48.777+00:00,2218930,male,11/21/24,3,romantic,one-on-one,2024-11-19T01:44:48.777+00:00,4,3,3,3,4,4,4,4,3,2,4,4,5,3,4,3,3,4,2,4,2,4,4,4,3,3,3,2,women,same,
2024-11-19T13:40:58.415+00:00,5571103,male,11/22/24,1,friend,double,2024-11-19T13:40:58.415+00:00,5,4,4,3,4,3,4,5,4,2,3,5,5,3,1,3,2,5,4,4,3,5,5,4,4,2,4,2,everyone,any,
2024-11-19T19:39:47.875+00:00,5564946,female,11/22/24,2,romantic,one-on-one,2024-11-19T19:39:47.875+00:00,5,3,4,4,5,3,5,2,2,1,5,3,5,5,3,4,3,3,3,5,5,3,4,4,5,4,4,1,men,same,yes
2024-11-19T22:14:10.512+00:00,5588723,female,11/22/24,2,friend,one-on-one,2024-11-19T22:14:10.512+00:00,4,2,2,3,3,3,2,4,4,3,2,5,4,3,3,3,4,4,2,4,5,4,4,5,2,4,4,1,women,same,yes
2024-11-20T02:53:45.117+00:00,5650280,male,11/22/24,postgraduate,romantic,one-on-one,2024-11-20T02:53:45.117+00:00,5,4,4,4,4,3,4,4,3,1,3,4,5,3,2,3,4,3,4,4,2,4,4,3,1,3,3,3,women,any,
2024-11-20T03:25:32.669+00:00,2212705,male,11/22/24,2,romantic,double,2024-11-20T03:25:32.669+00:00,4,5,3,5,5,5,2,5,3,2,2,4,5,4,3,4,3,5,4,5,2,5,4,5,5,5,5,3,women,any,
2024-11-20T07:11:28.582+00:00,5571248,male,11/21/24,2,romantic,one-on-one,2024-11-20T07:11:28.582+00:00,4,4,4,4,3,4,3,2,2,2,2,3,4,3,4,4,4,4,3,4,4,4,3,4,2,2,4,4,women,any,
2024-11-20T09:58:57.120+00:00,2246331,female,11/21/24,3,romantic,one-on-one,2024-11-20T09:58:57.120+00:00,4,4,2,4,4,5,2,4,3,3,1,4,4,1,4,4,3,4,4,3,2,4,4,4,2,4,4,3,men,same,yes
2024-11-20T14:30:57.471+00:00,5544410,female,11/21/24,2,romantic,one-on-one,2024-11-20T14:30:57.471+00:00,4,4,3,3,3,3,4,5,2,1,4,3,4,4,5,5,4,4,3,4,3,4,4,5,5,5,4,3,men,any,yes
2024-11-20T18:30:12.847+00:00,5563037,male,11/22/24,2,romantic,one-on-one,2024-11-20T18:30:12.847+00:00,4,3,3,1,4,4,2,4,4,1,2,4,4,5,2,4,2,4,3,4,2,5,4,4,4,4,4,3,women,any,
2024-11-20T18:33:16.457+00:00,5508762,female,11/22/24,2,friend,double,2024-11-20T18:33:16.457+00:00,4,4,4,3,4,4,4,4,3,5,2,5,5,2,2,4,4,3,3,3,3,5,4,5,3,4,4,3,men,any,yes
2024-11-20T21:59:16.003+00:00,5590940,female,11/22/24,2,romantic,one-on-one,2024-11-20T21:59:16.003+00:00,5,4,4,3,4,4,5,4,4,1,2,5,5,4,5,4,4,4,4,4,2,4,3,3,3,3,4,3,men,any,yes
2024-11-20T23:25:58.266+00:00,2208314,female,11/21/24,3,romantic,one-on-one,2024-11-20T23:25:58.266+00:00,4,4,4,3,5,3,4,4,3,4,3,4,4,3,5,4,4,4,4,5,2,3,3,5,4,5,4,2,men,any,yes
2024-11-20T23:25:59.016+00:00,2259998,female,11/21/24,3,romantic,one-on-one,2024-11-20T23:25:59.016+00:00,4,4,5,2,5,4,3,3,4,2,4,4,5,3,1,4,2,4,4,5,4,4,3,5,3,4,4,2,men,any,yes
2024-11-20T23:33:15.907+00:00,5528446,female,11/22/24,2,romantic,one-on-one,2024-11-20T23:33:15.907+00:00,4,5,2,5,5,5,4,4,5,1,4,3,3,3,5,4,1,1,5,4,4,5,4,5,5,4,4,1,men,same,yes
2024-11-20T23:33:50.438+00:00,2236351,female,11/22/24,2,romantic,one-on-one,2024-11-20T23:33:50.438+00:00,4,3,4,3,3,4,4,4,5,1,3,4,5,4,3,3,2,3,4,4,2,4,4,4,4,4,4,1,men,same,yes
2024-11-21T09:40:09.227+00:00,5619062,male,11/21/24,1,romantic,one-on-one,2024-11-21T09:40:09.227+00:00,4,4,4,4,4,4,4,5,3,3,2,4,4,3,4,4,3,4,3,4,2,4,5,5,2,4,4,5,women,same,
2024-11-21T14:56:25.186+00:00,5518818,female,11/22/24,2,romantic,one-on-one,2024-11-21T14:56:25.186+00:00,4,4,3,4,5,5,2,4,4,1,2,3,4,2,3,4,3,5,1,3,3,4,3,4,5,5,5,2,men,same,
